state,date,total_population,cumulative_total_people_tested,cumulative_people_tested_per_1000,total_people_tested_increase,cumulative_positive_tests,positive_tests_increase,cumulative_negative_tests,negative_tests_increase,cumulative_positivity_rate,cumulative_deaths,cumulative_deaths_per_100_000,deaths_increase,date_checked,total_people_tested_increase_7_day_rolling_avg,positive_tests_increase_7_day_rolling_avg,positivity_rate_7_day_rolling_avg
Maryland,2020-03-05,6042718,17,0.0,,0.0,,17.0,,0.0,,,,2020-03-05T21:00:00Z,,,
Maryland,2020-03-06,6042718,29,0.0,12.0,3.0,3.0,26.0,9.0,10.34,,,0.0,2020-03-06T21:00:00Z,,,
Maryland,2020-03-07,6042718,44,0.01,15.0,3.0,0.0,41.0,15.0,6.82,,,0.0,2020-03-07T21:00:00Z,,,
Maryland,2020-03-08,6042718,55,0.01,11.0,3.0,0.0,52.0,11.0,5.45,,,0.0,2020-03-08T20:00:00Z,,,
Maryland,2020-03-09,6042718,78,0.01,23.0,5.0,2.0,73.0,21.0,6.41,,,0.0,2020-03-09T20:00:00Z,,,
Maryland,2020-03-10,6042718,95,0.02,17.0,6.0,1.0,89.0,16.0,6.32,,,0.0,2020-03-10T20:00:00Z,15.6,1.2,7.69
Maryland,2020-03-11,6042718,103,0.02,8.0,9.0,3.0,94.0,5.0,8.74,,,0.0,2020-03-11T20:00:00Z,14.33,1.5,10.47
Maryland,2020-03-12,6042718,106,0.02,3.0,12.0,3.0,94.0,0.0,11.32,,,0.0,2020-03-12T20:00:00Z,12.71,1.71,13.48
Maryland,2020-03-13,6042718,111,0.02,5.0,17.0,5.0,94.0,0.0,15.32,,,0.0,2020-03-13T20:00:00Z,11.71,2.0,17.07
Maryland,2020-03-14,6042718,120,0.02,9.0,26.0,9.0,94.0,0.0,21.67,,,0.0,2020-03-14T20:00:00Z,10.86,3.29,30.26
Maryland,2020-03-15,6042718,125,0.02,5.0,31.0,5.0,94.0,0.0,24.8,,,0.0,2020-03-15T20:00:00Z,10.0,4.0,40.0
Maryland,2020-03-16,6042718,131,0.02,6.0,37.0,6.0,94.0,0.0,28.24,,,0.0,2020-03-16T20:00:00Z,7.57,4.57,60.38
Maryland,2020-03-17,6042718,151,0.02,20.0,57.0,20.0,94.0,0.0,37.75,,,0.0,2020-03-17T20:00:00Z,8.0,7.29,91.07
Maryland,2020-03-18,6042718,179,0.03,28.0,85.0,28.0,94.0,0.0,47.49,,,0.0,2020-03-18T20:00:00Z,10.86,10.86,100.0
Maryland,2020-03-19,6042718,201,0.03,22.0,107.0,22.0,94.0,0.0,53.23,1.0,0.02,1.0,2020-03-19T20:00:00Z,13.57,13.57,100.0
Maryland,2020-03-20,6042718,243,0.04,42.0,149.0,42.0,94.0,0.0,61.32,1.0,0.02,0.0,2020-03-20T20:00:00Z,18.86,18.86,100.0
Maryland,2020-03-21,6042718,284,0.05,41.0,190.0,41.0,94.0,0.0,66.9,2.0,0.03,1.0,2020-03-21T20:00:00Z,23.43,23.43,100.0
Maryland,2020-03-22,6042718,338,0.06,54.0,244.0,54.0,94.0,0.0,72.19,3.0,0.05,1.0,2020-03-22T20:00:00Z,30.43,30.43,100.0
Maryland,2020-03-23,6042718,382,0.06,44.0,288.0,44.0,94.0,0.0,75.39,3.0,0.05,0.0,2020-03-23T20:00:00Z,35.86,35.86,100.0
Maryland,2020-03-24,6042718,443,0.07,61.0,349.0,61.0,94.0,0.0,78.78,3.0,0.05,0.0,2020-03-24T20:00:00Z,41.71,41.71,100.0
Maryland,2020-03-25,6042718,517,0.09,74.0,423.0,74.0,94.0,0.0,81.82,4.0,0.07,1.0,2020-03-25T20:00:00Z,48.29,48.29,100.0
Maryland,2020-03-26,6042718,674,0.11,157.0,580.0,157.0,94.0,0.0,86.05,4.0,0.07,0.0,2020-03-26T20:00:00Z,67.57,67.57,100.0
